Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,To find myself in a position where a simple word to the King --
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,To a small council meeting?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Jorah Mormont's a slaver, not a traitor. Small difference, I know, to an honorable man."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"When you find yourself in bed with an ugly woman, best close your eyes, get it over with. Cut her throat. Be done with it."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"His Grace went on about you at some length after you took your leave. The word ""treason"" was mentioned."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,When do you return to Winterfell?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"If you're still here come nightfall, I'll take you to see the last person Jon Arryn spoke with before falling ill. If that sort of thing still interests you."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,It won't take more than an hour. But as you please.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Brothels make a much better investment than ship, I've found. Whores rarely sink."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Well, he has more than you, for a start."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Does it matter? If you fuck enough women, some of them will give you presents."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,He was the King's Hand. Perhaps Robert wanted them looked after. He was overcome with fatherly love.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"What's the meaning of this, Lannister?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,My Lords! I'll bring the City Watch!
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,Fish. The sigil of House Tully. Isn't that your wife's House - Tully - my Lord Hand?
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,That sounds like someone we know. The Mountain.
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,I've heard him called “Tywin Lannister's mad dog.” I'm sure you have as well. Can you think of any reason the Lannisters might possibly have for being angry with your wife?
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,It would be almost as brazen as attacking the Hand of the King in the streets of the capital.
2011-05-22,Season 1,Episode 6,A Golden Crown,petyr baelish,"A bold move, my Lord, and admirable. But is it wise to yank the lion's tail? Tywin Lannister is the richest man in all the Seven Kingdoms. Gold wins wars, not soldiers."
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"No no no no! Is that what they teach you up in the North? And you-- wherever you're from, do you have any idea how ridiculous you sound? Either of you understand a thing that I'm saying?"
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"Let's start over, shall we? You be the man and you be the woman."
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,I'm saving myself for another.
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,A stupid saying.
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"No, not really. Impeccable bloodlines though."
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,For many years. Most of my life really.
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Oh no. He got himself killed before the wedding.
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"Oh, everything, my dear. Everything there is."
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,My Lord protector.
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,So when the King dies...
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,So it would seem. Unless...
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,And he cannot take the throne without your help.
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,You are now Hand of the King and Protector of the Realm.
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"You'll need someone to share these burdens. I assure you, my price would be modest."
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Only if we lose.
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,So it will be Stannis and war?
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,"So why did you call me here? Not for my wisdom, clearly."
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Look at you. You know what you want me to do.
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,Now!
2011-05-29,Season 1,Episode 7,You Win or You Die,petyr baelish,I did warn you not to trust me.
2011-06-05,Season 1,Episode 8,The Pointy End,petyr baelish,"The girl is innocent, Your Grace."
2011-06-05,Season 1,Episode 8,The Pointy End,petyr baelish,"A naked Knight, apparently."
2011-06-05,Season 1,Episode 8,The Pointy End,petyr baelish,Do you deny your father's crime?
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,lt's hard for them to simper and bow without heads.
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"And what would you do, my friend, if you found yourself sitting up there?"
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,You must be one of the few men in the city who isn't a man.
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"When they castrated you, did they take the pillar with the stones? l've always wondered."
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,l picture a gash. Like a woman's. ls that about right?
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"Must be strange for you, even after all these years… a man from another land, despised by most, feared by all."
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,But you carry on whispering in one king's ear and then the next. l admire you.
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,"A useful talent, l'm sure you'd agree."
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,Playing our roles.
2011-06-19,Season 1,Episode 10,Fire and Blood,petyr baelish,Long may he reign. My king.
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"We have enough wheat for a five-year winter. If it lasts any longer, , we'll have fewer peasants."
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Your Grace.
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"Of course, Your Grace."
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"If she's escaped the capital, Winterfell seems the logical destination."
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Curious.
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"Well, you could ask Varys where she is. He'll have an answer for you. Whether you believe it,,, Myself, I have always had a hard time trusting eunuchs. Who knows what they want?"
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Yes.
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,I'm glad you like it. Some people are fortunate enough to be born into the right family. Others have to find their own way.
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,"When boys and girls live in the same home, awkward situations can arise. Sometimes, I've heard, even brothers and sisters develop certain affections. And when these affections become common knowledge, well, that is an awkward situation, indeed. Especially in a prominent family. But prominent families often forget a simple truth, I've found."
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Knowledge is power.
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,That's why they're called wildlings.
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,"One moment, my friend. A moment."
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,Please accept my sincerest apologies. Ramka will take good care of you.
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,Shhh. Did he hurt you?
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,Who?
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,"Ah, yes, that was poorly handled. Sometimes those with the most power have the least grace."
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,"You know, you remind me of another girl. A lovely thing I once acquired from an Elysium pleasure house. Beautiful, like yourself, and intelligent as yourself. But she wasn't happy. She cried, often. I asked her why but, we didn't have the kind of rapport that you and I have. Yes, it was quite sad. Girls from Elysium pleasure houses are expensive. Extremely expensive. And this one wasn't making me any money. I hate bad investments. Really, I do. They haunt me. I had no idea how to make her happy, no idea how to mitigate my losses. A very wealthy patron, he offered me a tremendous amount of money to let him transform this lovely, sad girl. To use her in ways that never occur to most men. And you know what occurs to most men. I would not say he succeeded in making her happy but my losses were definitely mitigated. . Take tonight off to mourn Mhaegen's child. I'll see you tomorrow. But you'll be happy? . That makes me happy."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Tell no one what?
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,She imprisoned you. She tried to execute you. And you offer her son a princess?
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,And I suppose you want me to broker this agreement?
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"Yes, I could sing this song to Lysa, if I cared to. What's in it for me?"
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Harrenhal is cursed.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"With a single stroke, you'd make me one of the greatest lords in the realm."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"So did Janos Slynt, and he was given Harrenhal, too. Until you snatched it away."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,The Queen mustn't know.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"I don't appreciate being made a fool of, dwarf. If Myrcella marries the Martell boy, she can't very well marry Robin Arryn, can she?"
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"And Harrenhal, I suppose that's off the table as well."
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Leave me out of your next deception.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Robb Stark will never release the Kingslayer.
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,Your Grace.
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,I'm a practical man.
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,And who would you have me be loyal to? Your brother's corpse?
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"You still have many friends at court, Your Grace, many who believe Ned Stark erred by not supporting your claim."
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,I would give priority to my head.
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"I understand that you don't like me, and while that saddens me greatly, I did not come here today seeking your affection. When you march on King's Landing, you may find yourself facing a protracted siege or open gates."
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,All of these tents look the same to me. Would you be so kind-
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Your tent""? Not ""Our tent""? The king snores, perhaps? Or simply prefers solitude? Pressures of command, no doubt. Four kings vying for the throne."
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"If war were arithmetic, the mathematicians would rule the world. I did notice your brother entering His Grace's tent just now."
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"And on the night of your wedding, who was by the king's side then?"
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Your marriage is quite interesting. Not only to me, but to the realm. The marriage of a wealthy girl always breeds interest, if nothing else."
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"I've been unlucky in my affections, sadly."
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,You may have heard false reports.
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,Betrayed? I wanted him to serve as Protector of the Realm. I begged him to seize the moment.
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"No, my lady."
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Cat, I've I've loved you since I was a boy. It seems to me that fate has given us this chance"
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Do you want to see your girls again? Sansa, more beautiful than ever? And Arya, just as wild as ever?"
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,Both girls are healthy and safe. For now. But you know the Queen and you know Joffrey. I fear for their longevity if they remain in the capital.
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,The Lannisters will trade your daughters for the Kingslayer.
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,I'm not bringing these terms to him. I'm bringing them to you.
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,"Robb has surprised them all with his skills in battle, but he's not a mother. Consider it, Cat. You may not get another chance. I've brought you a gift."
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,Your husband was an honorable man. He should rest beside his family in the crypts beneath Winterfell. You may not believe
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"My lord, my lady."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"Stannis will be here in an hour. When he arrives, Renly's bannermen will flock to him. Your former companions will fight for the privilege of selling you to their new king."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"You will note that I am standing here talking to you, not Stannis."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,Stannis.
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"Tell me, Ser Loras, what do you desire most in this world?"
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"I have always found that to be the purest of motivations, but you won't have a chance to put your sword through Stannis, not today. You'll be cut to pieces before he sets foot on solid ground. If it is justice that you want, be smart about it."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,"He was, Your Grace."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,petyr baelish,Do you want to be a queen?
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,Lord Tywin.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,Thank you.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,I traveled here directly from Renly Baratheon's camp.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,So they say. There has been talk of other forces at work. Dark forces.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,It is my belief that a moment of chaos affords opportunities lost soon after.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"After the Lannisters and the Starks, the Tyrells command the largest host. Their lands are the most fertile in the Seven Kingdoms, feeding horses and soldiers."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,The Tyrells have not yet declared for any of the surviving kings. Loras wants revenge. He blames Stannis for Renly's death. And Margaery-
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"Yes, she does."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"They did. And perhaps that treason should be punished one day, after Stannis and Robb Stark are defeated."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"If you will allow me to represent your family's interests, I believe that an advantageous agreement TYWIN"
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,They have.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,It's only wine.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"Tonight, with your leave."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,"On your son Tyrion's directive, I met with Catelyn Stark."
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,He had an interesting proposal for her concerning her daughters.
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,"You honor me beyond words, Your Grace. I shall have to acquire some sons and grandsons."
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,My lady. My sincerest condolences.
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,"You shouldn't say that. You'll be good enough for many things. He'll still enjoy beating you. And now that you're a woman, he'll be able to enjoy you in other ways as well."
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,"He'll let you go home? Joffrey's not the sort of boy who gives away his toys. You have a tender heart, just like your mother did at your age. I can see so much of her in you. She was like a sister to me. For her sake, I'll help get you home."
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,Look around you. We're all liars here. And every one of us is better than you.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,petyr baelish,Lovely day for it. Watching the ships.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,petyr baelish,Might I speak with Lady Sansa alone for a moment?
2013-03-31,Season 3,Episode 1,Valar Dohaeris,petyr baelish,I saw your mother not long ago. She's very eager to see you. And your sister.
2013-03-31,Season 3,Episode 1,Valar Dohaeris,petyr baelish,You said King's Landing was your home. You are the property of the crown. Stealing you would be treason. If you were to tell just one person ...
2013-03-31,Season 3,Episode 1,Valar Dohaeris,petyr baelish,How do I know?
2013-03-31,Season 3,Episode 1,Valar Dohaeris,petyr baelish,"I'm waiting for word on an assignment that will take me far away from the capital. When I set sail, I might be able to take you with me. But you'll need to be ready to leave on a moment's notice."
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,"For which I am extremely grateful to you, my lord. Lady Arryn and I have known each other since we were children. She has always been positively predisposed toward me."
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,Titles do seem to breed titles.
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,I'm surprised you're surprised. This is the safest place in the city.
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,"Thank you, my dear."
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,I hear you owe that boy a significant debt.
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,You should have him knighted.
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,If only. I owe you a significant debt. Our redheaded friend. You secured her release when the queen detained her.
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,"Apparently, Her Grace believed that you two had some sort of special relationship."
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,I know.
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,I know. But how would the queen get that idea?
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,Keep a low profile.
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,"Well, you are richer than I am."
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,"They're only numbers. Numbers on paper. Once you understand that, it's easy to make them behave. Trivial even. You want a real challenge? Try whores."
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,Your Grace.
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,"Of course, Your Grace."
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,I see. And have you shared these suspicions with Lord Tywin?
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,"Myself, I often find them a hindrance."
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,I shall do my best.
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,I assure you that it will.
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,That didn't take long.
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,Is he? And who's the lucky girl?
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,"She may not be the grandest ship in the world or the fastest, but she's mine. I've always wanted a ship. Now I want a dozen. Strange, isn't it?"
